pole,eq_lon90,eq_lon135,eq_lon180
4.76953062808419e-06,1.8009866971676e-06,1.66912764797541e-06,5.06946439939312e-07
4.73516314963384e-06,1.78772339946991e-06,1.64729105876958e-06,4.94292636327817e-07
4.70079567118349e-06,1.77446010177222e-06,1.62545446956376e-06,4.81638832716321e-07
4.66642819273315e-06,1.76119680407454e-06,1.60361788035793e-06,4.68985029104826e-07
4.6320607142828e-06,1.74793350637685e-06,1.5817812911521e-06,4.5633122549333e-07
4.59769323583245e-06,1.73467020867916e-06,1.55994470194628e-06,4.43677421881834e-07
4.56332575738211e-06,1.72140691098147e-06,1.53810811274046e-06,4.31023618270339e-07
4.52895827893176e-06,1.70814361328379e-06,1.51627152353463e-06,4.18369814658844e-07
4.49459080048142e-06,1.6948803155861e-06,1.49443493432881e-06,4.05716011047349e-07
4.46022332203107e-06,1.68161701788841e-06,1.47259834512298e-06,3.93062207435854e-07
4.42585584358072e-06,1.66835372019073e-06,1.45076175591716e-06,3.80408403824358e-07
4.39584290187037e-06,1.6593881657557e-06,1.43494708380553e-06,3.73587158770446e-07
4.36582996016002e-06,1.65042261132068e-06,1.4191324116939e-06,3.66765913716535e-07
4.33581701844967e-06,1.64145705688566e-06,1.40331773958227e-06,3.59944668662624e-07
4.30580407673932e-06,1.63249150245064e-06,1.38750306747064e-06,3.53123423608713e-07
4.27579113502898e-06,1.62352594801562e-06,1.37168839535901e-06,3.46302178554801e-07
4.24577819331863e-06,1.6145603935806e-06,1.35587372324738e-06,3.3948093350089e-07
4.21576525160828e-06,1.60559483914557e-06,1.34005905113575e-06,3.32659688446979e-07
4.18575230989793e-06,1.59662928471055e-06,1.32424437902412e-06,3.25838443393067e-07
4.15573936818758e-06,1.58766373027553e-06,1.30842970691249e-06,3.19017198339156e-07
4.12572642647723e-06,1.57869817584051e-06,1.29261503480086e-06,3.12195953285245e-07
4.09935374118533e-06,1.57284704635627e-06,1.28125949895153e-06,3.09495569198813e-07
4.07298105589343e-06,1.56699591687203e-06,1.2699039631022e-06,3.06795185112381e-07
4.04660837060153e-06,1.56114478738779e-06,1.25854842725287e-06,3.0409480102595e-07
4.02023568530963e-06,1.55529365790355e-06,1.24719289140355e-06,3.01394416939518e-07
3.99386300001772e-06,1.54944252841931e-06,1.23583735555422e-06,2.98694032853086e-07
3.96749031472582e-06,1.54359139893507e-06,1.22448181970489e-06,2.95993648766654e-07
