pole,eq_lon90,eq_lon135,eq_lon180
2.48174987685939e-05,9.4456342374834e-06,9.15643335356515e-06,3.1002720621012e-06
2.50879652215014e-05,9.54957822678401e-06,9.21234584145352e-06,3.09492418516745e-06
2.5358431674409e-05,9.65352221608461e-06,9.26825832934189e-06,3.0895763082337e-06
2.56288981273166e-05,9.75746620538522e-06,9.32417081723025e-06,3.08422843129995e-06
2.58993645802242e-05,9.86141019468583e-06,9.38008330511863e-06,3.07888055436621e-06
2.61698310331318e-05,9.96535418398644e-06,9.435995793007e-06,3.07353267743246e-06
2.64402974860394e-05,1.0069298173287e-05,9.49190828089536e-06,3.06818480049871e-06
2.6710763938947e-05,1.01732421625876e-05,9.54782076878373e-06,3.06283692356496e-06
2.69812303918546e-05,1.02771861518883e-05,9.6037332566721e-06,3.05748904663121e-06
2.72516968447621e-05,1.03811301411889e-05,9.65964574456047e-06,3.05214116969746e-06
2.75221632976697e-05,1.04850741304895e-05,9.71555823244884e-06,3.04679329276372e-06
2.74240314478791e-05,1.0463716575001e-05,9.64204591802256e-06,3.00871605565694e-06
2.73258995980884e-05,1.04423590195125e-05,9.56853360359627e-06,2.97063881855017e-06
2.72277677482977e-05,1.04210014640241e-05,9.49502128916998e-06,2.93256158144339e-06
2.7129635898507e-05,1.03996439085356e-05,9.4215089747437e-06,2.89448434433662e-06
2.70315040487163e-05,1.03782863530471e-05,9.34799666031741e-06,2.85640710722984e-06
2.69333721989256e-05,1.03569287975587e-05,9.27448434589113e-06,2.81832987012306e-06
2.68352403491349e-05,1.03355712420702e-05,9.20097203146484e-06,2.78025263301629e-06
2.67371084993442e-05,1.03142136865817e-05,9.12745971703854e-06,2.74217539590951e-06
2.66389766495535e-05,1.02928561310933e-05,9.05394740261226e-06,2.70409815880273e-06
2.65408447997628e-05,1.02714985756048e-05,8.98043508818597e-06,2.66602092169596e-06
2.64195046112872e-05,1.02542615001984e-05,8.91698818154855e-06,2.64825038371326e-06
2.62981644228115e-05,1.0237024424792e-05,8.85354127491114e-06,2.63047984573055e-06
2.61768242343358e-05,1.02197873493856e-05,8.79009436827372e-06,2.61270930774785e-06
2.60554840458601e-05,1.02025502739792e-05,8.7266474616363e-06,2.59493876976515e-06
2.59341438573844e-05,1.01853131985728e-05,8.66320055499888e-06,2.57716823178244e-06
2.58128036689087e-05,1.01680761231664e-05,8.59975364836146e-06,2.55939769379974e-06
2.56914634804331e-05,1.015083904776e-05,8.53630674172405e-06,2.54162715581703e-06
2.55701232919574e-05,1.01336019723536e-05,8.47285983508663e-06,2.52385661783433e-06
2.54487831034817e-05,1.01163648969472e-05,8.40941292844921e-06,2.50608607985163e-06
2.5327442915006e-05,1.00991278215408e-05,8.34596602181179e-06,2.48831554186892e-06
2.5205736900089e-05,1.0090620722039e-05,8.29743331209981e-06,2.48846074075215e-06
2.50840308851721e-05,1.00821136225372e-05,8.24890060238783e-06,2.48860593963538e-06
2.49623248702551e-05,1.00736065230354e-05,8.20036789267585e-06,2.48875113851861e-06
2.48406188553381e-05,1.00650994235337e-05,8.15183518296387e-06,2.48889633740184e-06
2.47189128404211e-05,1.00565923240319e-05,8.10330247325189e-06,2.48904153628507e-06
2.45972068255041e-05,1.00480852245301e-05,8.0547697635399e-06,2.4891867351683e-06
2.44755008105872e-05,1.00395781250283e-05,8.00623705382792e-06,2.48933193405152e-06
2.43537947956702e-05,1.00310710255265e-05,7.95770434411594e-06,2.48947713293475e-06
2.42320887807532e-05,1.00225639260247e-05,7.90917163440396e-06,2.48962233181798e-06
2.41103827658362e-05,1.0014056826523e-05,7.86063892469198e-06,2.48976753070121e-06
2.3994816040765e-05,1.00133343806759e-05,7.82548288364004e-06,2.50339938844243e-06
2.38792493156938e-05,1.00126119348287e-05,7.79032684258811e-06,2.51703124618365e-06
2.37636825906226e-05,1.00118894889816e-05,7.75517080153617e-06,2.53066310392487e-06
2.36481158655514e-05,1.00111670431345e-05,7.72001476048423e-06,2.54429496166609e-06
2.35325491404802e-05,1.00104445972874e-05,7.6848587194323e-06,2.55792681940731e-06
2.3416982415409e-05,1.00097221514403e-05,7.64970267838036e-06,2.57155867714853e-06
2.33014156903378e-05,1.00089997055932e-05,7.61454663732842e-06,2.58519053488975e-06
2.31858489652666e-05,1.00082772597461e-05,7.57939059627648e-06,2.59882239263097e-06
2.30702822401954e-05,1.0007554813899e-05,7.54423455522455e-06,2.61245425037219e-06
2.29547155151242e-05,1.00068323680519e-05,7.50907851417261e-06,2.62608610811341e-06
2.28472651526203e-05,1.00119786799308e-05,7.48466070791989e-06,2.64909529501495e-06
2.27398147901164e-05,1.00171249918096e-05,7.46024290166716e-06,2.6721044819165e-06
2.26323644276124e-05,1.00222713036884e-05,7.43582509541444e-06,2.69511366881805e-06
2.25249140651085e-05,1.00274176155673e-05,7.41140728916171e-06,2.7181228557196e-06
2.24174637026045e-05,1.00325639274461e-05,7.38698948290899e-06,2.74113204262115e-06
2.23100133401006e-05,1.0037710239325e-05,7.36257167665627e-06,2.7641412295227e-06
