Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99
-0.122826996115628,-0.122827772003229,-0.122829311124849,-0.122831588463648,-0.122834566846431,-0.122838197865231,-0.122842422429456,-0.122847171987325,-0.122852369447748,-0.122857930632323,-0.122863765548627,-0.122869779972174,-0.122875876889438,-0.122881958132496,-0.122801969281572,-0.122807725628537,-0.122813180651462,-0.12281824708292,-0.122822844015393,-0.122826898103758,-0.122830344748238,-0.122833129090932,-0.12283520686964,-0.122836545040766,-0.122837122360847,-0.122836929678424,-0.122835970025071,-0.122834258644699,-0.12283182272967,-0.122828701029568,-0.122824943172461,-0.122820609028662,-0.122815767657248,-0.122810496393727,-0.122804879440251,-0.122799006758873,-0.122878925610575,-0.122872824249331,-0.12286675633082,-0.122860819692722,-0.12285511009895,-0.122849719857307,-0.122844736221409,-0.122840240045295,-0.122836304240535,-0.122832992777123,-0.12283035955991,-0.122828447444573,-0.122827287571759,-0.122826898819154,-0.122827287571789,-0.12282844744456,-0.122830359559919,-0.122832992777126,-0.122836304240572,-0.122840240045283,-0.122844736221437,-0.122849719857307,-0.122855110098984,-0.122860819692722,-0.122866756330838,-0.122872824249343,-0.122878925610598,-0.12279900675886,-0.122804879440246,-0.122810496393719,-0.122815767657224,-0.122820609028654,-0.122824943172456,-0.122828701029571,-0.122831822729706,-0.122834258644699,-0.122835970025075,-0.122836929678419,-0.122837122360823,-0.122836545040764,-0.122835206869649,-0.122833129090923,-0.122830344748219,-0.122826898103758,-0.122822844015404,-0.122818247082891,-0.122813180651458,-0.122807725628537,-0.122801969281559,-0.122881958132484,-0.122875876889431,-0.122869779972188,-0.12286376554863,-0.122857930632365,-0.122852369447751,-0.122847171987294,-0.122842422429461,-0.122838197865218,-0.122834566846468,-0.122831588463661,-0.122829311124896,-0.122827772003269,-0.122826996115544
-0.122082570025701,-0.12208945077125,-0.122103088780417,-0.122123239832902,-0.122063924833791,-0.12209589775582,-0.122047282645185,-0.122002994800498,-0.122048301949369,-0.122010682351665,-0.121975151858761,-0.122026866074832,-0.12199303607137,-0.121958773891367,-0.121923270142383,-0.121971870858925,-0.121931759949129,-0.121888090323107,-0.121926324058246,-0.121873030497157,-0.121901337564608,-0.121838005529036,-0.121855246403371,-0.121866331213164,-0.121871108029286,-0.121869514108871,-0.121861569853467,-0.121847382966798,-0.121913466194269,-0.121887850505761,-0.121856929332346,-0.121907754875835,-0.121953423432958,-0.121909234828577,-0.121947867993232,-0.121984246227682,-0.121932999984839,-0.12196695325026,-0.122000897680578,-0.122035682778957,-0.121986222612732,-0.122025226601335,-0.122067547129462,-0.122028137249287,-0.122079233931353,-0.122050038357987,-0.122112369994469,-0.122095437608208,-0.122085155149375,-0.122081707018156,-0.12208515514935,-0.12209543760817,-0.122112369994528,-0.122050038357987,-0.122079233931279,-0.12202813724931,-0.122067547129469,-0.122025226601335,-0.12198622261273,-0.122035682778958,-0.122000897680599,-0.121966953250179,-0.12193299998484,-0.121984246227684,-0.121947867993232,-0.121909234828577,-0.121953423432898,-0.121907754876018,-0.121856929330592,-0.121887850507558,-0.121913466194905,-0.121847382966798,-0.121861569853936,-0.121869514111389,-0.121871108028651,-0.121866331213166,-0.121855246405139,-0.121838005529049,-0.121901337564047,-0.121873030497247,-0.121926324058312,-0.121888090323106,-0.12193175994912,-0.121971870858931,-0.121923270142385,-0.121958773891433,-0.121993036071406,-0.122026866074712,-0.121975151858788,-0.122010682351666,-0.122048301949376,-0.122002994800497,-0.122047282645141,-0.122095897755759,-0.122063924833771,-0.122123239832906,-0.122103088780365,-0.122089450771258,-0.122082570025756
-0.120522342351225,-0.120540913514733,-0.120491872860863,-0.120460178781456,-0.120444706596276,-0.120443965454996,-0.120456202031651,-0.120393579147591,-0.120339775943183,-0.120292509579093,-0.120249536793067,-0.120208667370335,-0.120253350710932,-0.120209724304569,-0.120161636079676,-0.120107025999762,-0.120044351188469,-0.120058431796176,-0.120061987859683,-0.119968366298339,-0.119948509448244,-0.120001273998398,-0.11995456947346,-0.119979606458759,-0.119990377136816,-0.119986784214443,-0.119968860141483,-0.11993676743463,-0.119976571776974,-0.120002905129616,-0.120016692844211,-0.120018566082486,-0.120095643514442,-0.120076783370498,-0.120135247056135,-0.120186367993633,-0.120231973246877,-0.120274108653143,-0.120228993718466,-0.120270609179427,-0.120315469321956,-0.120365715712578,-0.120423649599394,-0.12040566779996,-0.120485509931893,-0.120493407074401,-0.12051682317498,-0.120471274846818,-0.120529322112667,-0.120520011623153,-0.120529322112576,-0.120471274846817,-0.120516823174983,-0.1204934070744,-0.120485509931896,-0.120405667799974,-0.120423649599377,-0.120365715712557,-0.120315469322002,-0.120270609179439,-0.120228993718468,-0.120274108653142,-0.120231973246877,-0.120186367993643,-0.120135247056126,-0.120076783370464,-0.120095643514421,-0.120018566082396,-0.120016692844208,-0.120002905129629,-0.119976571777069,-0.11993676743467,-0.11996886014162,-0.119986784214367,-0.119990377136703,-0.119979606458751,-0.119954569473327,-0.12000127399843,-0.119948509448279,-0.119968366298338,-0.120061987859685,-0.120058431796191,-0.120044351188426,-0.12010702599978,-0.120161636079726,-0.120209724304537,-0.120253350710939,-0.120208667370326,-0.120249536793067,-0.120292509579093,-0.120339775943147,-0.120393579147644,-0.12045620203164,-0.120443965454999,-0.120444706596279,-0.120460178781464,-0.120491872860867,-0.12054091351485,-0.120522342351246
-0.118052275024361,-0.118000872450505,-0.117983527536603,-0.118000319832613,-0.117959259796305,-0.11785787098384,-0.11786406581295,-0.117801411057454,-0.117751044348802,-0.117624362266567,-0.117589246385771,-0.117551237204263,-0.117507095997847,-0.117455031103021,-0.117393256089161,-0.117313582648776,-0.117307398081196,-0.117282544967404,-0.117240058143658,-0.117176449753293,-0.117180326730448,-0.117165835644091,-0.117132672758235,-0.117165700457553,-0.117094292632167,-0.117175117222487,-0.117151558897447,-0.117109024688754,-0.117132608373586,-0.117223625166264,-0.117208925891814,-0.117264083176163,-0.117295827148583,-0.117312988193904,-0.117399022559929,-0.117383622540067,-0.117439707862986,-0.117486830304359,-0.117613520126163,-0.11765057793068,-0.117688380375539,-0.117732015904665,-0.117788247154303,-0.117858765300682,-0.117948457038418,-0.117976508816324,-0.117945860767554,-0.118030986220899,-0.117979195741963,-0.118047896224894,-0.117979195741753,-0.118030986220976,-0.117945860767082,-0.117976508816312,-0.117948457038408,-0.117858765300695,-0.117788247153687,-0.117732015904976,-0.117688380375291,-0.11765057793238,-0.117613520126139,-0.1174868303044,-0.117439707862531,-0.117383622540064,-0.117399022559937,-0.117312988193835,-0.117295827148628,-0.117264083176223,-0.117208925896557,-0.117223625163639,-0.117132608373669,-0.117109024687253,-0.117151558897471,-0.117175117222729,-0.117094292632423,-0.117165700456092,-0.117132672762004,-0.117165835583873,-0.117180326739267,-0.117176449753091,-0.117240058143418,-0.117282544967568,-0.117307398081893,-0.1173135826484,-0.11739325608916,-0.117455031102529,-0.117507095998538,-0.117551237204322,-0.117589246385704,-0.117624362267004,-0.117751044350051,-0.117801411057455,-0.11786406581307,-0.117857870983827,-0.117959259796292,-0.118000319833218,-0.117983527537532,-0.118000872451248,-0.118052275024422
-0.114455426310077,-0.114425277164151,-0.114360161741838,-0.114343624655598,-0.114284574402323,-0.114261685500963,-0.114182625015671,-0.114124059460113,-0.113991198551661,-0.113947011362526,-0.113813022961497,-0.113755148847854,-0.113678171776246,-0.113665164152271,-0.113626921144646,-0.113561634952792,-0.11355422333458,-0.113518780081205,-0.113459304979548,-0.113461799498818,-0.113442618221675,-0.113405730182541,-0.113439664131024,-0.113460185768612,-0.113468716587077,-0.113465890712826,-0.11345149551739,-0.113424490015842,-0.11346941803534,-0.113411319796747,-0.113420474372628,-0.113492147598029,-0.113539716758984,-0.113560788607544,-0.113554084036359,-0.113606993161057,-0.113718127332932,-0.113717981312162,-0.113785843857014,-0.113924089021445,-0.11396928565296,-0.114012719892704,-0.114151374033541,-0.114218185440038,-0.114312353822698,-0.114351902496307,-0.114345332784877,-0.11438640176257,-0.114475948120198,-0.114448559382883,-0.114475948121235,-0.11438640176257,-0.114345332784732,-0.114351902496289,-0.114312353824203,-0.114218185438788,-0.114151374033432,-0.114012719892608,-0.113969285653158,-0.113924089021445,-0.113785843856975,-0.113717981312311,-0.113718127332962,-0.113606993161042,-0.113554084036347,-0.113560788615363,-0.113539716757721,-0.113492147598127,-0.113420474372625,-0.113411319796769,-0.113469418035374,-0.113424490015908,-0.113451495517145,-0.113465890713147,-0.113468716586756,-0.113460185768693,-0.11343966413143,-0.113405730182907,-0.113442618222682,-0.113461799498658,-0.113459304979407,-0.113518780081533,-0.113554223334291,-0.113561634952836,-0.113626921144547,-0.11366516415178,-0.113678171775973,-0.113755148847675,-0.11381302296167,-0.113947011362338,-0.11399119855024,-0.114124059460245,-0.114182625015624,-0.114261685500764,-0.114284574402298,-0.114343624655423,-0.114360161742122,-0.114425277164156,-0.114455426309786
-0.109610263833283,-0.109599676641468,-0.109575709970709,-0.109531090557101,-0.109455279509426,-0.109336132706643,-0.109248286439455,-0.109176401473354,-0.109105383611543,-0.109023262688023,-0.108916801693416,-0.108860221796913,-0.108760849112327,-0.108785576432776,-0.108761268157081,-0.108774778351225,-0.108744451853342,-0.108762146262444,-0.108750106324992,-0.108802950619603,-0.108844314024214,-0.108883167212472,-0.108927475352004,-0.10889793431157,-0.108884487265349,-0.108889022615766,-0.10891090712414,-0.108861369083608,-0.108820696768802,-0.108867324955944,-0.108821381693192,-0.108759300604297,-0.108757541432361,-0.10872193256039,-0.108730997615552,-0.108779548962224,-0.108779280549812,-0.108816164511049,-0.108893488156469,-0.10893120901882,-0.109023522248119,-0.109098909012303,-0.109168488984978,-0.109332261409137,-0.109347606369548,-0.109486886805837,-0.109503369871976,-0.109579093876703,-0.109638512572552,-0.109600811740154,-0.109638512572632,-0.109579093877709,-0.109503369871593,-0.109486886805844,-0.109347606369353,-0.109332261409138,-0.109168488984977,-0.109098909012304,-0.109023522248102,-0.108931209018809,-0.10889348815646,-0.108816164511053,-0.108779280549813,-0.108779548962233,-0.108730997615552,-0.108721932560377,-0.108757541432384,-0.108759300604303,-0.108821381693192,-0.108867324955947,-0.108820696768802,-0.108861369083608,-0.108910907124134,-0.108889022615764,-0.108884487265349,-0.108897934311571,-0.108927475352005,-0.108883167212471,-0.108844314024213,-0.108802950619594,-0.108750106324929,-0.108762146262426,-0.108744451853406,-0.108774778351278,-0.10876126815708,-0.108785576432843,-0.108760849112275,-0.108860221796912,-0.108916801693271,-0.109023262688031,-0.109105383611491,-0.109176401473369,-0.109248286439373,-0.109336132706375,-0.109455279509429,-0.109531090557049,-0.109575709970621,-0.109599676641452,-0.109610263832944
-0.103385425705528,-0.103394925627687,-0.103322713031844,-0.103241781198945,-0.103140843199527,-0.103079742069175,-0.102957285369789,-0.102830736907268,-0.1027665386231,-0.102656537726157,-0.102654532326625,-0.102662361500407,-0.102670278081838,-0.102676090663239,-0.102767765554722,-0.102778613670217,-0.102901526858788,-0.103062206320286,-0.103192724961653,-0.103317748117446,-0.10336787605583,-0.103545122008031,-0.103597119409473,-0.103632900366924,-0.103658653612833,-0.103678725313269,-0.103606022840235,-0.103521451429525,-0.103494564903807,-0.103340515149935,-0.103212215394847,-0.103085678137617,-0.102944508121131,-0.102848727830134,-0.10278287655548,-0.10273232867774,-0.10268415704938,-0.102634312352212,-0.102668761939997,-0.102619754377724,-0.10275976649455,-0.102760616656011,-0.102893358283405,-0.103015046972533,-0.103064044500269,-0.103225666027746,-0.103274008417024,-0.103305526907945,-0.103335744657552,-0.103373410252237,-0.103335744657493,-0.103305526907947,-0.103274008417049,-0.103225666027728,-0.103064044500341,-0.103015046972467,-0.102893358274419,-0.102760616656007,-0.102759766489541,-0.102619754375016,-0.102668761939976,-0.102634312352215,-0.102684157049704,-0.102732328677741,-0.102782876555935,-0.102848727837109,-0.102944508120896,-0.103085678136644,-0.103212215394847,-0.10334051515033,-0.10349456490543,-0.103521451424095,-0.103606022840227,-0.103678725313385,-0.10365865361283,-0.103632900366908,-0.103597119409227,-0.10354512200807,-0.103367876055917,-0.103317748117511,-0.103192724961654,-0.103062206320241,-0.102901526858877,-0.102778613671511,-0.102767765554791,-0.10267609066308,-0.102670278081626,-0.102662361500404,-0.102654532326258,-0.102656537726042,-0.10276653862264,-0.102830736909169,-0.102957285369789,-0.103079742069526,-0.103140843199815,-0.103241781199769,-0.10332271303181,-0.103394925627639,-0.103385425705533
-0.0955082640741106,-0.0955339957006803,-0.0954915724251837,-0.0953670424527295,-0.0953064232915926,-0.0951893829654702,-0.095072236224808,-0.0949988264096462,-0.0949462855196102,-0.0949623480403793,-0.09493873137481,-0.0950314285491868,-0.0951428520110058,-0.0952806776955136,-0.0955336976316391,-0.0957528934457611,-0.096053936012508,-0.096388386242071,-0.0967011584972572,-0.0969495076233981,-0.097180555450973,-0.0974230546421766,-0.0976294250392033,-0.0977447289441606,-0.0977751903373297,-0.0977369045433715,-0.097706390772307,-0.0975073417530189,-0.0972854448524996,-0.0970955099227913,-0.0968185674929145,-0.0965013406139748,-0.096184848340916,-0.0959128756767241,-0.0956578834415075,-0.0954621690502249,-0.0952291110255972,-0.0951072514475667,-0.0950044970757905,-0.0949248038422795,-0.0949683251256851,-0.0949831214452028,-0.095000973292113,-0.0951303717348509,-0.0952465900577723,-0.0952876878914685,-0.0953770008279185,-0.0954571655552037,-0.0955506626563086,-0.0955791348110776,-0.0955506626562041,-0.0954571655551413,-0.0953770008279386,-0.0952876878913918,-0.0952465900577694,-0.0951303717345249,-0.0950009732920941,-0.0949831214458476,-0.0949683251258812,-0.0949248038422916,-0.0950044970739488,-0.0951072514473935,-0.0952291110256179,-0.0954621690502249,-0.0956578834414499,-0.0959128756767777,-0.0961848483409305,-0.0965013406156129,-0.0968185674923941,-0.0970955099227631,-0.097285444852754,-0.0975073417530409,-0.0977063907716324,-0.0977369045430217,-0.0977751903376005,-0.0977447289441579,-0.0976294250390193,-0.0974230546426103,-0.0971805554512844,-0.0969495076207418,-0.0967011584971701,-0.096388386241733,-0.0960539360129219,-0.0957528934457686,-0.0955336976314312,-0.0952806776955312,-0.0951428520105737,-0.0950314285491507,-0.0949387313753959,-0.0949623480403122,-0.0949462855194132,-0.094998826409619,-0.0950722362248158,-0.095189382965658,-0.0953064232915695,-0.0953670424527403,-0.0954915724251963,-0.0955339957004905,-0.0955082640747623
-0.0859871592273459,-0.0859422692651044,-0.0859240764165641,-0.0858214692353546,-0.0856835945944345,-0.0856328934997732,-0.0855459138005979,-0.0855327975696612,-0.0855514580806151,-0.0856432621547859,-0.085777258864932,-0.0860177589181435,-0.0862731856636116,-0.0866357538995267,-0.0871359829585307,-0.0876324932125859,-0.0881762894504949,-0.0887479860518001,-0.0893212696346109,-0.0897953689691696,-0.0903265409439078,-0.0907221960461439,-0.0910303698717131,-0.0912140901126363,-0.0912966681090012,-0.0913013873769016,-0.0911266250271377,-0.0908412885312192,-0.0904958926190874,-0.0900377302298108,-0.0895885612003502,-0.0889855907159109,-0.0884242450920037,-0.0879151881124118,-0.0874029027302799,-0.0869103403196276,-0.0864814928450314,-0.0860909071268992,-0.0858829878126958,-0.0856958117695385,-0.0855374584817351,-0.0855198433053985,-0.0855109540276014,-0.0855558175815699,-0.0857037337430972,-0.0857490586334217,-0.0858214579240466,-0.0859631037480105,-0.0859496032697964,-0.0859711936130257,-0.0859496032697981,-0.0859631037479986,-0.0858214579240482,-0.085749058633419,-0.0857037337430813,-0.085555817581565,-0.0855109540276017,-0.0855198433053985,-0.085537458481722,-0.0856958117695402,-0.0858829878126846,-0.086090907126896,-0.0864814928450361,-0.0869103403196283,-0.0874029027303608,-0.0879151881123854,-0.0884242450920024,-0.088985590715988,-0.0895885612003759,-0.0900377302298688,-0.090495892619084,-0.0908412885312424,-0.0911266250271538,-0.0913013873768621,-0.0912966681089883,-0.0912140901126442,-0.0910303698717377,-0.0907221960461421,-0.0903265409437996,-0.0897953689684958,-0.0893212696346179,-0.0887479860518007,-0.0881762894504902,-0.0876324932127199,-0.0871359829585241,-0.0866357538995284,-0.0862731856636144,-0.0860177589181441,-0.0857772588649296,-0.0856432621547802,-0.0855514580805889,-0.0855327975696592,-0.085545913800597,-0.0856328934997815,-0.0856835945944321,-0.0858214692353426,-0.0859240764165702,-0.0859422692651049,-0.0859871592273738
-0.0746801453653163,-0.0746405672064719,-0.0745450189212261,-0.0744377105628533,-0.0743557858095461,-0.0743243631101315,-0.0742726388350821,-0.074387714759648,-0.074434392696537,-0.0746981247438344,-0.0750524674296687,-0.0754756874715976,-0.0760508565260232,-0.0767082229285146,-0.0774957439204923,-0.078381866582521,-0.0792837683477648,-0.0802868985938626,-0.0811596632436098,-0.0820045326956846,-0.0828469163996969,-0.0834319089462378,-0.0839387032420094,-0.0842607401432722,-0.0844378397349225,-0.084410465881413,-0.0841637502879025,-0.0837575971768553,-0.0831326486974518,-0.0824737850945874,-0.0815997581626735,-0.0807542307422167,-0.0797440744808698,-0.0788889447063734,-0.077921253666508,-0.077091881996864,-0.0764219773899932,-0.0757651718627309,-0.0752681819922518,-0.074835516731212,-0.0745614787853419,-0.0744021270602261,-0.0743135048325527,-0.0742734460681488,-0.0743490716347606,-0.0744392410266391,-0.0745274825283713,-0.0745816764401152,-0.07464507755991,-0.0746632953788687,-0.0746450775598693,-0.0745816764402958,-0.0745274825283688,-0.0744392410269498,-0.0743490716348258,-0.0742734460681758,-0.0743135048325437,-0.0744021270602129,-0.074561478785418,-0.074835516731178,-0.0752681819922879,-0.0757651718625127,-0.0764219773899062,-0.0770918819968612,-0.0779212536665406,-0.0788889447062498,-0.0797440744803466,-0.0807542307425272,-0.081599758162672,-0.0824737850952445,-0.0831326486974452,-0.083757597176658,-0.084163750287893,-0.084410465881451,-0.0844378397346366,-0.0842607401433706,-0.0839387032420104,-0.0834319089462285,-0.0828469163997193,-0.0820045326956468,-0.0811596632440811,-0.0802868985938383,-0.0792837683480318,-0.0783818665810333,-0.0774957439205344,-0.0767082229281871,-0.0760508565264805,-0.0754756874716622,-0.0750524674297038,-0.0746981247437246,-0.07443439269661,-0.0743877147596929,-0.0742726388351008,-0.0743243631100747,-0.07435578580944,-0.0744377105630345,-0.0745450189211484,-0.0746405672063277,-0.0746801453659854
